E	total	s	p
3.11947274	0.8951	0.066	0.1764
3.1831727400000007	0.9528	0.07	0.19399999999999998
3.2469727400000012	1.1756	0.0784	0.24060000000000004
3.3106727400000002	2.5612	0.1158	0.518
3.3744727400000007	2.2794	0.1174	0.469
3.4381727399999997	2.1636	0.1228	0.4456
3.5019727400000003	1.8944	0.1242	0.38559999999999994
3.565672740000001	1.7436	0.117	0.3526
3.6294727399999998	1.7625	0.121	0.3588
3.6931727400000005	1.9	0.1308	0.3862
3.7568727400000013	1.8268	0.1328	0.3738
3.82067274	1.7131	0.1266	0.35419999999999996
3.8843727400000008	1.538	0.0986	0.32199999999999995
3.9481727400000013	1.5138	0.1006	0.3202
4.01187274	1.2911	0.0706	0.27540000000000003
4.075672740000001	1.1452	0.0542	0.24619999999999997
4.13937274	1.1397	0.0548	0.2444
4.2030727400000005	1.1285	0.0558	0.2414
4.266872740000001	1.124	0.0568	0.24
4.33057274	1.1255	0.0586	0.24000000000000002
4.3943727400000006	1.1757	0.064	0.2494
4.458072740000001	1.3713	0.0724	0.2882
4.52187274	1.4855	0.078	0.3094
4.585572740000001	1.3284	0.077	0.2752
4.64937274	1.2591	0.076	0.26459999999999995
4.71307274	1.2656	0.0792	0.26839999999999997
4.776772740000001	1.3342	0.0854	0.2848
4.84057274	1.3471	0.0856	0.289
4.904272740000001	1.2058	0.077	0.2628
4.968072740000001	1.1816	0.0766	0.2588
5.03177274	1.1649	0.0762	0.257
5.095572740000001	1.1473	0.076	0.254
5.15927274	1.2102	0.0782	0.267
5.22307274	1.2871	0.0854	0.2814
5.286772740000001	1.185	0.0796	0.261
5.35047274	1.1916	0.0794	0.2632
5.41427274	1.2095	0.0798	0.2686
5.477972740000001	1.2119	0.0774	0.2696
5.54177274	1.1953	0.0742	0.2662
5.605472740000001	1.1327	0.0696	0.253
5.669272740000001	1.119	0.0664	0.2514
5.73297274	1.1125	0.0636	0.2508
5.796672740000001	1.0559	0.06	0.23979999999999999
5.86047274	0.9972	0.0562	0.2286
5.92417274	0.9961	0.0548	0.2294
5.987972740000001	1.0139	0.055	0.2342
6.05167274	1.1315	0.058	0.2632
6.11547274	1.0339	0.053	0.2416
6.179172740000001	0.9734	0.0494	0.22799999999999998
6.24297274	0.946	0.0464	0.2188
6.306672740000001	0.9351	0.0446	0.2126
6.37037274	0.9619	0.0438	0.214
6.43417274	1.0009	0.044	0.2184
6.497872740000001	1.1395	0.0494	0.2424
6.56167274	1.2926	0.0578	0.2582
6.62537274	1.3573	0.0672	0.2476
6.689172740000001	1.3763	0.0676	0.252
6.75287274	1.3884	0.0672	0.253
6.8166727400000005	1.3189	0.063	0.2494
6.880372740000001	1.2463	0.06	0.2384
6.94407274	1.1805	0.057	0.2276
7.007872740000001	1.116	0.0538	0.218
7.07157274	1.0485	0.0506	0.2086
7.13537274	1.006	0.0488	0.20479999999999998
7.199072740000001	1.0928	0.0536	0.2316
7.26287274	1.1529	0.0556	0.2474
7.3265727400000005	1.1814	0.0544	0.2522
7.390272740000001	1.2444	0.0552	0.26780000000000004
7.45407274	1.2301	0.053	0.2626
7.517772740000001	1.1762	0.049	0.2442
7.581572740000001	1.213	0.0482	0.2388
7.64527274	1.2587	0.0478	0.23779999999999998
7.709072740000001	1.3252	0.0476	0.242
7.77277274	1.4997	0.0484	0.2738
7.83657274	1.3146	0.0468	0.24979999999999997
7.900272740000001	1.2765	0.0462	0.2462
7.96397274	1.2512	0.0472	0.24419999999999997
8.02777274	1.2058	0.0478	0.236
8.09147274	1.1191	0.048	0.21760000000000002
8.155272740000001	1.1853	0.0498	0.2308
8.218972740000002	1.1568	0.0488	0.223
8.282772740000002	1.1474	0.0482	0.22099999999999997
8.34647274	1.1729	0.0484	0.22860000000000003
8.41027274	1.1838	0.0484	0.2296
8.47397274	1.2076	0.0486	0.229
8.537672740000001	1.2063	0.049	0.2258
8.601472740000002	1.1993	0.049	0.22199999999999998
8.66517274	1.1906	0.049	0.2188
8.72897274	1.2097	0.0496	0.2188
8.79267274	1.2375	0.0502	0.2204
8.856472740000001	1.2626	0.0516	0.22260000000000002
8.920172740000002	1.3047	0.0566	0.226
8.983872739999999	1.3495	0.064	0.2286
9.04767274	1.3585	0.0636	0.23120000000000002
9.11137274	1.4054	0.0664	0.23619999999999997
9.17517274	1.4547	0.0698	0.2414
9.238872740000001	1.4535	0.0676	0.2444
9.302672740000002	1.4237	0.0666	0.236
9.36637274	1.4107	0.0658	0.2334
9.43017274	1.3964	0.0652	0.23079999999999998
9.49387274	1.379	0.0642	0.2284
9.557572740000001	1.3594	0.0628	0.2256
9.621372740000002	1.3334	0.0612	0.222
9.685072739999999	1.3193	0.0602	0.21999999999999997
9.74887274	1.3535	0.0594	0.2364
9.81257274	1.3213	0.0588	0.217
9.87637274	1.3327	0.0586	0.21440000000000003
9.940072740000002	1.3559	0.0582	0.2184
